Item ID,Site,Item Name,SKU,Quantity,Reorder Threshold,Optimum Threshold
10110,Saint John Retail,1 person tent,11112,10,5,10
10111,Saint John Retail,1 person tent,11113,10,5,10
10127,Saint John Retail,10 person tent,11129,10,5,10
10128,Saint John Retail,10 person tent,11130,10,5,10
10314,Saint John Retail,101,74209,10,5,10
10330,Saint John Retail,10pc Golf Balls,52731,10,5,10
10315,Saint John Retail,1100,74210,10,5,10
10316,Saint John Retail,1400v6,74211,10,5,10
10334,Saint John Retail,14pc Graphite Golf Club Set,52735,10,5,10
10332,Saint John Retail,14pc Wood Golf Club Set,52733,10,5,10
10730,Saint John Retail,"15"" Microfiber Cart Towel",30008,10,5,10
10317,Saint John Retail,1500T2,74212,10,5,10
10318,Saint John Retail,1500v4,74213,10,5,10
10319,Saint John Retail,1500v5,74214,10,5,10
10320,Saint John Retail,1540v2,74215,10,5,10
10731,Saint John Retail,"17"" Microfiber Players Towel",30008,10,5,10
10321,Saint John Retail,1865,74216,10,5,10
10113,Saint John Retail,2 person tent,11115,10,5,10
10112,Saint John Retail,2 person tent,11114,10,5,10
10425,Saint John Retail,2017 TP5 Golf Balls,52826,10,5,10
10426,Saint John Retail,2017 TP5x Golf Balls,52827,10,5,10
10306,Saint John Retail,247,74201,10,5,10
10322,Saint John Retail,247 Classic,74217,10,5,10
10323,Saint John Retail,247 Decon,74218,10,5,10
10068,Saint John Retail,24in. Sport Carry Bag - '17 Model,60068,10,5,10
10115,Saint John Retail,3 person tent,11117,10,5,10
10114,Saint John Retail,3 person tent,11116,10,5,10
10117,Saint John Retail,4 person tent,11119,10,5,10
10116,Saint John Retail,4 person tent,11118,10,5,10
10630,Saint John Retail,4+1 Harness,21334,10,5,10
10478,Saint John Retail,"44"" Eco-Composite Backboard & Rim Combo",12138,10,5,10
10211,Saint John Retail,5 pack bungies,11213,10,5,10
10212,Saint John Retail,5 pack bungies,11214,10,5,10
10118,Saint John Retail,5 person tent,11120,10,5,10
10119,Saint John Retail,5 person tent,11121,10,5,10
10130,Saint John Retail,"5"" knife",11132,10,5,10
10129,Saint John Retail,"5"" knife",11131,10,5,10
10331,Saint John Retail,50pc Golf Balls,52732,10,5,10
10485,Saint John Retail,"54"" Acrylic Backboard and Rim Combo Basketball Hoop",12145,10,5,10
10308,Saint John Retail,574 Core,74203,10,5,10
10213,Saint John Retail,6 pack bungies,11215,10,5,10
10214,Saint John Retail,6 pack bungies,11216,10,5,10
10121,Saint John Retail,6 person tent,11123,10,5,10
10120,Saint John Retail,6 person tent,11122,10,5,10
10131,Saint John Retail,"6"" knife",11133,10,5,10
10132,Saint John Retail,"6"" knife",11134,10,5,10
10729,Saint John Retail,"60"" Single Canopy Umbrella",30008,10,5,10
10728,Saint John Retail,"64"" Double Canopy Umbrella",30007,10,5,10
10067,Saint John Retail,650 Large Carry Hockey Equipment Bag,60067,10,5,10
10123,Saint John Retail,7 person tent,11125,10,5,10
10122,Saint John Retail,7 person tent,11124,10,5,10
10133,Saint John Retail,"7"" knife",11135,10,5,10
10134,Saint John Retail,"7"" knife",11136,10,5,10
10125,Saint John Retail,8 person tent,11127,10,5,10
10124,Saint John Retail,8 person tent,11126,10,5,10
10135,Saint John Retail,"8"" knife",11137,10,5,10
10136,Saint John Retail,"8"" knife",11138,10,5,10
10071,Saint John Retail,850 Large Wheeled Hockey Equipment Bag,60071,10,5,10
10313,Saint John Retail,860v9,74208,10,5,10
10310,Saint John Retail,880v8,74205,10,5,10
10126,Saint John Retail,9 person tent,11128,10,5,10
10137,Saint John Retail,"9"" knife",11139,10,5,10
10138,Saint John Retail,"9"" knife",11140,10,5,10
10536,Saint John Retail,"9"" NEON CONES - 4PK",12196,10,5,10
10523,Saint John Retail,"9"" NEON CONES - 4PK",12183,10,5,10
